scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Batis minima,Batis_minima,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,390000,0,1,0,1,0,1,0,0,0,0,3
Batis minor,Batis_minor,Not a Migrant,Least Concern,Unknown,0,0,0,0,1,1,0,0,0,868000,0,1,0,1,0,1,0,1,0,0,3
Batis minulla,Batis_minulla,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,1040000,0,1,0,1,0,1,0,0,0,0,3
Batis mixta,Batis_mixta,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,163000,0,1,0,0,0,1,0,0,1,0,3
Batis molitor,Batis_molitor,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,8710000,0,1,0,0,0,1,1,1,1,0,3
Batis occulta,Batis_occulta,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,1520000,0,1,0,1,0,1,0,0,0,0,3
Batis orientalis,Batis_orientalis,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,6390000,0,1,0,0,0,0,0,1,1,0,5
Batis perkeo,Batis_perkeo,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,0,0,0,1380000,0,1,0,0,0,0,0,1,1,0,3
Batis poensis,Batis_poensis,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,2200,0,1,0,1,0,1,0,0,0,0,3
Batis pririt,Batis_pririt,Full Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,1,2380000,0,1,0,0,0,0,0,1,1,0,3
Batis reichenowi,Batis_mixta,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,12400,0,1,0,0,0,1,0,0,1,0,3
Batis senegalensis,Batis_senegalensis,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,0,0,0,0,4030000,0,1,0,1,0,0,1,1,1,0,5
Batis soror,Batis_soror,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,1360000,0,1,0,1,0,0,0,1,1,0,3
Batrachostomus auritus,Batrachostomus_auritus,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,2410000,0,0,1,0,0,1,0,0,0,0,3
Batrachostomus cornutus,Batrachostomus_cornutus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,2850000,0,0,1,1,0,1,0,0,0,0,3
Batrachostomus harterti,Batrachostomus_harterti,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,136000,0,0,1,0,0,1,0,0,0,0,3
Batrachostomus hodgsoni,Batrachostomus_hodgsoni,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,1190000,0,0,1,0,0,1,0,0,0,0,5
Batrachostomus javensis,Batrachostomus_javensis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,5810000,0,0,1,1,0,1,0,0,1,0,3
Batrachostomus mixtus,Batrachostomus_mixtus,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,549000,0,0,1,0,0,1,0,0,0,0,3
Batrachostomus moniliger,Batrachostomus_moniliger,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,1,0,319000,0,0,1,1,0,0,0,0,0,0,3
Batrachostomus poliolophus,Batrachostomus_poliolophus,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,175000,0,0,1,0,0,1,0,0,0,0,3
Batrachostomus septimus,Batrachostomus_septimus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,654000,0,0,1,0,0,1,0,0,0,0,3
Batrachostomus stellatus,Batrachostomus_stellatus,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,2790000,0,0,1,0,0,1,0,0,0,0,3
Berenicornis comatus,Aceros_comatus,Not a Migrant,Endangered,Decreasing,0,0,0,0,0,0,0,1,0,3910000,0,0,1,1,0,1,0,0,0,0,3
Berlepschia rikeri,Berlepschia_rikeri,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,7070000,1,0,0,0,0,1,0,1,0,1,3
Bernieria madagascariensis,Bernieria_madagascariensis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,624000,0,1,0,0,0,1,0,0,0,0,3
Bias musicus,Bias_musicus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,10800000,0,1,0,1,0,1,0,0,0,0,3
Biatas nigropectus,Biatas_nigropectus,Not a Migrant,Vulnerable,Decreasing,0,1,1,0,0,0,0,0,0,605000,1,0,0,0,0,1,0,0,0,0,3
Biziura lobata,Biziura_lobata,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,6140000,0,0,1,0,1,0,0,0,0,1,3
Bleda canicapillus,Bleda_canicapillus,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,1930000,0,1,0,0,0,1,0,1,1,0,3
Bleda eximius,Bleda_eximius,Not a Migrant,Near Threatened,Decreasing,0,0,0,1,1,0,0,0,0,422000,0,1,0,0,0,1,0,0,0,0,3
Bleda notatus,Bleda_notatus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,780000,0,1,0,0,0,1,0,1,0,0,3
Bleda syndactylus,Bleda_syndactylus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,6940000,0,1,0,0,0,1,0,0,1,0,3
Bleda ugandae,Bleda_notatus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,1800000,0,1,0,0,0,1,0,1,0,0,3
Blythipicus pyrrhotis,Blythipicus_pyrrhotis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,6750000,0,0,1,0,0,1,0,0,0,0,5
Blythipicus rubiginosus,Blythipicus_rubiginosus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,3670000,0,0,1,1,0,1,0,0,0,1,3
Bocagia minuta,Tchagra_minutus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,14400000,0,1,0,1,0,0,1,0,1,1,3
Boissonneaua flavescens,Boissonneaua_flavescens,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,384000,1,0,0,1,0,1,0,0,1,0,3
Boissonneaua jardini,Boissonneaua_jardini,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,35400,1,0,0,0,0,1,0,0,1,0,3
Boissonneaua matthewsii,Boissonneaua_matthewsii,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,614000,1,0,0,1,0,1,0,0,0,0,3
Bolbopsittacus lunulatus,Bolbopsittacus_lunulatus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,631000,0,0,1,1,0,1,0,0,0,0,3
Bolborhynchus ferrugineifrons,Bolborhynchus_ferrugineifrons,Not a Migrant,Vulnerable,Decreasing,1,1,0,0,0,0,0,0,0,17600,1,0,0,1,0,0,1,0,1,0,3
Bolborhynchus lineola,Bolborhynchus_lineola,Nomadic,Least Concern,Stable,1,1,1,0,0,0,0,0,0,6810000,1,0,0,0,0,1,0,0,1,0,3
Bolborhynchus orbygnesius,Bolborhynchus_orbygnesius,Altitudinal Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,655000,1,0,0,0,0,1,0,0,1,0,3
Bolemoreus frenatus,Lichenostomus_frenatus,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,101000,0,0,1,1,0,1,0,0,0,0,3
Bolemoreus hindwoodi,Lichenostomus_hindwoodi,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,420,0,0,1,1,0,1,0,0,0,0,3
Bombycilla cedrorum,Bombycilla_cedrorum,Full Migrant,Least Concern,Increasing,1,1,1,0,0,0,0,0,1,11800000,1,0,0,1,0,1,0,0,0,1,2
Bombycilla garrulus,Bombycilla_garrulus,Full Migrant,Least Concern,Decreasing,1,1,1,1,1,1,1,1,1,27500000,1,1,1,1,0,1,0,0,0,0,1
Bombycilla japonica,Bombycilla_japonica,Full Migrant,Near Threatened,Decreasing,0,0,0,0,0,1,0,1,1,996000,0,0,1,1,0,1,0,0,0,0,2
Bonasa bonasia,Bonasa_bonasia,Not a Migrant,Least Concern,Decreasing,1,0,0,1,1,1,1,1,0,30700000,1,1,1,0,0,1,0,0,0,0,1
Bonasa sewerzowi,Bonasa_sewerzowi,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,1,1,0,575000,0,0,1,0,0,1,0,0,1,0,1
Bonasa umbellus,Bonasa_umbellus,Not a Migrant,Least Concern,Stable,1,1,1,0,0,1,0,1,0,15500000,1,0,1,0,0,1,0,0,0,0,1
Bostrychia bocagei,Bostrychia_bocagei,Not a Migrant,Critically Endangered,Decreasing,0,0,0,1,0,1,0,0,0,140,0,1,0,0,0,1,0,0,0,1,3
Bostrychia carunculata,Bostrychia_carunculata,Not a Migrant,Least Concern,Unknown,0,0,0,0,1,1,0,0,0,706000,0,1,0,1,0,0,1,0,1,1,3
Bostrychia hagedash,Bostrychia_hagedash,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,0,0,0,25000000,0,1,0,1,0,1,1,1,0,1,5
Bostrychia olivacea,Bostrychia_olivacea,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,4700000,0,1,0,0,0,1,0,0,0,1,3
Bostrychia rara,Bostrychia_rara,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,4730000,0,1,0,0,0,1,0,0,0,1,3
Botaurus lentiginosus,Botaurus_lentiginosus,Full Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,1,17600000,1,0,0,0,0,0,0,0,0,1,5
Botaurus pinnatus,Botaurus_pinnatus,Full Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,1,16100000,1,0,0,0,0,0,0,0,0,1,3
Botaurus poiciloptilus,Botaurus_poiciloptilus,Not a Migrant,Endangered,Decreasing,0,0,0,0,0,0,0,1,0,10200000,0,0,1,0,0,0,0,0,0,1,3
Botaurus stellaris,Botaurus_stellaris,Full Migrant,Least Concern,Stable,0,0,0,1,1,1,1,1,1,86200000,0,1,1,1,0,0,0,0,0,1,5
Brachycope anomala,Brachycope_anomala,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,1690000,0,1,0,1,0,1,0,0,0,1,3
Brachygalba albogularis,Brachygalba_albogularis,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,694000,1,0,0,0,0,1,0,0,0,1,3
Brachygalba goeringi,Brachygalba_goeringi,Not a Migrant,Least Concern,Stable,0,1,1,0,0,0,0,0,0,280000,1,0,0,1,0,1,0,1,1,0,3
Brachygalba lugubris,Brachygalba_lugubris,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,8230000,1,0,0,1,0,1,0,1,1,1,3
Brachygalba salmoni,Brachygalba_salmoni,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,80800,1,0,0,1,0,1,0,0,0,1,3
Brachypodius atriceps,Pycnonotus_atriceps,Nomadic,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,8120000,0,0,1,1,0,1,1,0,1,0,3
Brachypodius fuscoflavescens,Pycnonotus_atriceps,Nomadic,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,4500,0,0,1,0,0,1,0,0,0,0,3
Brachypodius priocephalus,Pycnonotus_priocephalus,Not a Migrant,Near Threatened,Stable,0,0,0,0,0,0,1,0,0,121000,0,0,1,1,0,1,0,0,0,0,3
Brachypteracias leptosomus,Brachypteracias_leptosomus,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,1,1,0,0,0,210000,0,1,0,0,0,1,0,0,0,0,3
Brachypteryx cruralis,Brachypteryx_montana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,3130000,0,0,1,0,0,1,0,0,1,0,5
Brachypteryx erythrogyna,Brachypteryx_montana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,340000,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx floris,Brachypteryx_montana,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,16300,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx goodfellowi,Brachypteryx_montana,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,40300,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx hyperythra,Brachypteryx_hyperythra,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,1,1,0,384000,0,0,1,0,0,1,0,0,1,0,5
Brachypteryx leucophris,Brachypteryx_leucophrys,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,13600000,0,0,1,0,0,1,0,0,0,0,5
Brachypteryx montana,Brachypteryx_montana,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,29500,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx poliogyna,Brachypteryx_montana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,859000,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx saturata,Brachypteryx_montana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,316000,0,0,1,0,0,1,0,0,1,0,3
Brachypteryx sinensis,Brachypteryx_montana,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,1610000,0,0,1,0,0,1,0,0,1,0,5
Bradornis boehmi,Muscicapa_boehmi,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,2010000,0,1,0,0,0,0,0,1,0,0,3
Bradornis comitatus,Muscicapa_comitata,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,6240000,0,1,0,1,0,1,0,0,1,0,3
Bradornis fuliginosus,Muscicapa_infuscata,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,4610000,0,1,0,1,0,1,0,0,0,0,3
Bradornis mariquensis,Bradornis_mariquensis,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,2170000,0,1,0,1,0,0,1,1,1,0,3
Bradornis microrhynchus,Bradornis_microrhynchus,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,0,0,0,3110000,0,1,0,0,0,0,0,1,1,0,3
Bradornis ussheri,Muscicapa_ussheri,Not a Migrant,Least Concern,Stable,0,0,0,1,1,0,0,0,0,799000,0,1,0,1,0,1,0,1,1,0,3
Bradypterus alfredi,Bradypterus_alfredi,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,1210000,0,1,0,0,0,1,0,0,1,0,3
Bradypterus baboecala,Bradypterus_baboecala,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,13327000,0,1,0,0,0,0,0,0,0,1,3
Bradypterus bangwaensis,Bradypterus_bangwaensis,Not a Migrant,Near Threatened,Stable,0,0,0,1,1,1,0,0,0,6900,0,1,0,0,0,1,0,0,1,0,3
Bradypterus barratti,Bradypterus_barratti,Altitudinal Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,556000,0,1,0,0,0,1,0,0,0,0,3
Bradypterus brunneus,Dromaeocercus_brunneus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,225000,0,1,0,0,0,1,0,0,0,0,3
Bradypterus carpalis,Bradypterus_carpalis,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,809000,0,1,0,0,0,0,0,0,0,1,3
Bradypterus centralis,Bradypterus_baboecala,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,4890000,0,1,0,0,0,0,0,0,0,1,3
Bradypterus cinnamomeus,Bradypterus_cinnamomeus,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,0,0,0,2980000,0,1,0,0,0,1,0,0,1,0,3
Bradypterus grandis,Bradypterus_grandis,Not a Migrant,Near Threatened,Stable,0,0,0,1,1,1,0,0,0,179000,0,1,0,0,0,0,0,0,0,1,3
Bradypterus graueri,Bradypterus_graueri,Not a Migrant,Endangered,Decreasing,0,0,0,0,1,1,0,0,0,53300,0,1,0,0,0,0,0,0,0,1,3
Bradypterus lopezi,Bradypterus_lopezi,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,5810000,0,1,0,0,0,1,0,0,1,0,3
Bradypterus sylvaticus,Bradypterus_sylvaticus,Not a Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,0,0,0,123000,0,1,0,1,0,1,0,0,1,0,3
Branta bernicla,Branta_bernicla,Full Migrant,Least Concern,Unknown,1,1,1,1,1,1,1,1,1,22100000,1,1,1,1,0,0,1,0,0,0,2
Branta canadensis,Branta_canadensis,Full Migrant,Least Concern,Increasing,1,1,1,1,0,1,0,1,1,23300000,1,1,1,1,0,0,1,0,0,1,1
Branta hutchinsii,Branta_hutchinsii,Full Migrant,Least Concern,Increasing,1,1,1,1,0,1,0,1,1,8410000,1,1,1,1,0,0,1,0,0,1,2
Branta leucopsis,Branta_leucopsis,Full Migrant,Least Concern,Increasing,0,0,0,1,1,1,1,0,1,5700000,0,1,1,1,0,0,1,0,0,0,1
Branta ruficollis,Branta_ruficollis,Full Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,1,1,1,1140000,0,1,1,1,1,0,1,0,0,1,1
Brotogeris chiriri,Brotogeris_chiriri,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,5670000,1,0,0,1,0,1,0,1,0,0,3
Brotogeris chrysoptera,Brotogeris_chrysoptera,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,3840000,1,0,0,1,0,1,0,1,0,0,3
Brotogeris cyanoptera,Brotogeris_cyanoptera,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,3090000,1,0,0,1,0,1,0,1,0,0,3
Brotogeris jugularis,Brotogeris_jugularis,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,2090000,1,0,0,1,0,1,0,1,0,0,3
Brotogeris pyrrhoptera,Brotogeris_pyrrhoptera,Not a Migrant,Endangered,Decreasing,1,1,0,0,0,0,0,0,0,87000,1,0,0,1,0,1,0,0,1,0,3
Brotogeris sanctithomae,Brotogeris_sanctithomae,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,2790000,1,0,0,1,0,1,0,0,0,1,3
Brotogeris tirica,Brotogeris_tirica,Not a Migrant,Least Concern,Decreasing,0,0,1,0,0,0,0,0,0,1010000,1,0,0,1,0,1,0,0,0,0,3
Brotogeris versicolurus,Brotogeris_versicolurus,Not a Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,0,2730000,1,0,0,1,0,1,0,0,0,0,3
Bubalornis albirostris,Bubalornis_albirostris,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,8500000,0,1,0,1,0,0,0,1,1,0,3
Bubalornis niger,Bubalornis_niger,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,9760000,0,1,0,0,0,0,0,1,1,0,3
Bubo africanus,Bubo_africanus,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,1,0,0,10000000,0,1,1,0,0,1,1,1,1,0,5
Bubo ascalaphus,Bubo_ascalaphus,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,1,0,0,14800000,0,1,1,1,0,0,0,1,1,1,5
Bubo bengalensis,Bubo_bengalensis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,1,1,1,0,4920000,0,0,1,1,0,1,0,0,1,0,5
Bubo blakistoni,Ketupa_blakistoni,Not a Migrant,Endangered,Decreasing,0,0,0,0,0,1,0,1,0,5220000,0,0,1,0,0,1,0,0,0,1,1
Bubo bubo,Bubo_bubo,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,1,1,0,51400000,0,1,1,1,0,1,1,0,1,0,5
Bubo capensis,Bubo_capensis,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,8460000,0,1,0,1,0,1,1,1,1,0,3
Bubo cinerascens,Bubo_cinerascens,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,12600000,0,1,0,0,0,0,1,1,1,0,5
Bubo coromandus,Bubo_coromandus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,1,1,1,0,9250000,0,0,1,1,0,1,0,0,0,1,5
Bubo lacteus,Bubo_lacteus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,25500000,0,1,0,1,0,1,1,1,1,0,3
Bubo leucostictus,Bubo_leucostictus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,5220000,0,1,0,0,0,1,0,0,0,1,3
Bubo magellanicus,Bubo_magellanicus,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,5630000,1,0,0,1,0,1,0,0,1,0,3
Bubo nipalensis,Bubo_nipalensis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,8530000,0,0,1,0,0,1,0,0,0,0,5
Bubo philippensis,Bubo_philippensis,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,0,1,0,631000,0,0,1,0,0,1,0,0,0,0,3
Bubo poensis,Bubo_poensis,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,7670000,0,1,0,1,0,1,0,0,0,0,3
Bubo scandiacus,Bubo_scandiaca,Full Migrant,Vulnerable,Decreasing,1,1,1,1,1,1,1,1,1,38100000,1,1,1,1,0,0,1,0,0,1,1
Bubo shelleyi,Bubo_shelleyi,Not a Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,0,0,0,3450000,0,1,0,0,0,1,0,0,0,0,3
Bubo sumatranus,Bubo_sumatranus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,4270000,0,0,1,1,0,1,0,0,0,0,3
Bubo virginianus,Bubo_virginianus,Full Migrant,Least Concern,Stable,1,1,1,0,0,1,0,1,1,65900000,1,0,1,1,0,1,0,1,1,0,5
Bubulcus ibis,Bubulcus_ibis,Full Migrant,Least Concern,Stable,1,1,1,1,1,1,1,1,1,394000000,1,1,1,1,0,0,1,0,0,1,5
Bucanetes githagineus,Bucanetes_githagineus,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,1,0,0,24400000,0,1,1,0,0,0,1,0,0,0,5
Bucanetes mongolicus,Eremopsaltria_mongolicus,Not a Migrant,Least Concern,Stable,0,0,0,0,1,1,1,1,0,9850000,0,1,1,0,0,0,1,0,0,0,5
Buccanodon duchaillui,Buccanodon_duchaillui,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,4110000,0,1,0,1,0,1,0,0,0,0,3
Bucco capensis,Bucco_capensis,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,6080000,1,0,0,0,0,1,0,0,1,1,3
Bucephala albeola,Bucephala_albeola,Full Migrant,Least Concern,Increasing,1,1,1,0,0,1,0,1,1,11000000,1,0,1,0,1,1,0,0,0,1,2
Bucephala clangula,Bucephala_clangula,Full Migrant,Least Concern,Stable,1,1,1,1,1,1,1,1,1,46900000,1,1,1,0,0,1,0,0,0,1,2
Bucephala islandica,Bucephala_islandica,Full Migrant,Least Concern,Stable,1,1,1,1,0,1,0,1,1,16900000,1,1,1,0,1,1,0,0,0,1,1
Buceros bicornis,Buceros_bicornis,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,1,1,0,10300000,0,0,1,0,0,1,0,0,0,0,5
Buceros hydrocorax,Buceros_hydrocorax,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,0,1,0,197000,0,0,1,0,0,1,0,0,0,0,3
Buceros mindanensis,Buceros_hydrocorax,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,0,1,0,248000,0,0,1,0,0,1,0,0,0,0,3
Buceros rhinoceros,Buceros_rhinoceros,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,0,1,0,3370000,0,0,1,0,0,1,0,0,0,0,3
Bucorvus abyssinicus,Bucorvus_abyssinicus,Not a Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,0,0,0,8880000,0,1,0,0,0,1,1,1,1,0,3
Bucorvus leadbeateri,Bucorvus_cafer,Not a Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,0,0,0,7140000,0,1,0,1,0,1,1,1,1,1,3
Buettikoferella bivittata,Buettikoferella_bivittata,Not a Migrant,Least Concern,Increasing,0,0,0,0,0,0,0,1,0,37700,0,0,1,1,0,1,0,0,1,0,3
Bugeranus carunculatus,Grus_carunculatus,Not a Migrant,Vulnerable,Decreasing,0,0,0,1,1,1,0,0,0,7270000,0,1,0,1,0,0,1,0,0,1,3
Buphagus africanus,Buphagus_africanus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,19400000,0,1,0,0,0,1,0,1,0,1,5
Buphagus erythrorynchus,Buphagus_erythrorhynchus,Not a Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,0,8930000,0,1,0,1,0,0,0,1,1,1,3
Burhinus bistriatus,Burhinus_bistriatus,Not a Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,0,5570000,1,0,0,1,0,0,1,1,1,0,3
Burhinus capensis,Burhinus_capensis,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,1,0,0,27900000,0,1,1,1,0,0,1,1,1,0,5
Burhinus grallarius,Burhinus_grallarius,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,0,1,0,9350000,0,0,1,1,0,1,1,0,1,0,3
Burhinus indicus,Burhinus_oedicnemus,Full Migrant,Least Concern,Unknown,0,0,0,0,0,0,1,1,1,8230000,0,0,1,1,0,0,1,0,1,0,5
Burhinus oedicnemus,Burhinus_oedicnemus,Full Migrant,Least Concern,Decreasing,0,0,0,1,1,1,1,1,1,27000000,0,1,1,1,0,0,1,0,1,0,5
Burhinus senegalensis,Burhinus_senegalensis,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,0,0,0,14100000,0,1,0,1,0,1,1,1,1,1,5
Burhinus superciliaris,Burhinus_superciliaris,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,600000,1,0,0,1,0,0,1,0,1,0,3
Burhinus vermiculatus,Burhinus_vermiculatus,Not a Migrant,Least Concern,Unknown,0,0,0,1,1,1,0,0,0,18500000,0,1,0,0,0,1,0,1,1,1,3
Busarellus nigricollis,Busarellus_nigricollis,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,21300000,1,0,0,1,0,1,0,0,0,1,3
Butastur indicus,Butastur_indicus,Full Migrant,Least Concern,Decreasing,0,0,0,0,0,1,0,1,1,3280000,0,0,1,1,0,1,0,0,0,1,2
Butastur liventer,Butastur_liventer,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,6620000,0,0,1,1,0,0,0,1,1,1,3
Butastur rufipennis,Butastur_rufipennis,Full Migrant,Least Concern,Decreasing,0,0,0,1,1,1,0,0,1,10600000,0,1,0,1,0,1,1,1,1,1,4
Butastur teesa,Butastur_teesa,Not a Migrant,Least Concern,Stable,0,0,0,0,0,1,1,1,0,8330000,0,0,1,1,0,0,1,1,1,0,5
