animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Acridotheres_ginginianus,0,0,0,0,1,1,0,0,0,0,0,1,3,3180000
Acridotheres_grandis,0,0,0,0,1,1,0,0,1,0,0,1,3,3430000
Acridotheres_grandis,1,0,0,0,1,1,0,0,1,0,0,1,2,3430000
Sturnus_burmannicus,0,0,0,0,1,1,0,0,1,0,1,0,2,420000
Sturnus_melanopterus,1,0,0,0,1,1,0,1,0,1,1,0,2,200
Sturnus_melanopterus,1,0,0,0,1,1,0,1,0,1,1,0,2,200
Sturnus_melanopterus,1,0,0,0,1,1,0,1,0,1,1,0,2,200
Acridotheres_tristis,0,0,0,0,1,1,0,1,1,0,0,0,3,1.80E+07
Iole_indica,0,0,0,0,1,1,0,1,0,0,0,1,2,759000
Acrobatornis_fonsecai,1,0,1,0,0,1,0,1,0,0,0,0,2,13400
Acrocephalus_agricola,1,1,0,1,1,1,0,0,0,0,0,1,3,9650000
Acrocephalus_arundinaceus,1,1,0,1,1,1,0,0,1,1,1,1,3,24500000
Acrocephalus_australis,0,1,0,0,1,1,0,0,0,0,0,1,2,24600000
Acrocephalus_bistrigiceps,0,1,0,0,1,1,0,0,1,0,0,1,3,6510000
Acrocephalus_concinens,0,1,0,0,1,0,0,0,1,0,0,1,3,6820000
Acrocephalus_dumetorum,0,1,0,1,1,1,0,1,1,0,1,1,3,10600000
Acrocephalus_gracilirostris,0,0,0,1,0,0,1,0,1,0,1,1,2,15700000
Acrocephalus_griseldis,0,1,0,1,1,1,0,0,0,1,1,1,3,438000
Acrocephalus_luscinius,1,0,0,0,1,0,0,1,0,0,1,1,2,0
Acrocephalus_melanopogon,0,1,0,1,1,0,0,0,0,0,0,1,3,13600000
Acrocephalus_newtoni,0,0,0,1,0,0,0,1,0,0,0,1,2,689000
Acrocephalus_arundinaceus,1,1,0,0,1,1,0,0,1,1,1,1,3,24500000
Acrocephalus_paludicola,1,1,0,1,0,1,0,0,0,0,0,1,3,578000
Acrocephalus_palustris,0,1,0,1,1,1,0,1,1,0,1,1,3,9290000
Acrocephalus_rufescens,0,0,0,1,0,1,0,0,0,0,0,1,2,12300000
Acrocephalus_schoenobaenus,0,1,0,1,1,1,0,0,1,1,0,1,3,20100000
Acrocephalus_scirpaceus,0,1,0,1,1,0,0,0,1,1,1,1,3,64300000
Acrocephalus_sorghophilus,1,1,0,0,1,0,0,0,0,0,0,1,3,0
Acrocephalus_stentoreus,0,1,0,1,1,0,0,1,1,0,1,1,3,24900000
Acrocephalus_syrinx,0,0,0,0,1,1,0,1,1,0,0,0,2,294000
Acrocephalus_tangorum,1,1,0,0,1,0,0,0,1,0,0,1,3,757000
Acropternis_orthonyx,0,0,1,0,0,0,0,1,0,0,0,0,2,568000
Acryllium_vulturinum,0,0,0,1,0,0,0,1,1,1,1,0,2,1500000
Actenoides_bougainvillei,1,0,0,0,1,0,0,1,0,0,0,0,2,10800
Actenoides_monachus,1,0,0,0,1,0,0,1,0,0,0,0,2,141000
Actenoides_concretus,1,0,0,0,1,0,0,1,0,0,0,0,2,3800000
Actenoides_bougainvillei,1,0,0,0,1,0,0,1,0,0,0,0,2,10800
Actenoides_hombroni,1,0,0,0,1,0,0,1,0,0,0,0,2,140000
Actenoides_lindsayi,1,0,0,0,1,0,0,1,0,0,0,0,2,314000
Actenoides_monachus,1,0,0,0,1,0,0,1,0,0,0,0,2,141000
Actenoides_princeps,1,0,0,0,1,0,0,1,0,0,0,0,2,285000
Actenoides_princeps,1,0,0,0,1,0,0,1,0,0,0,0,2,285000
Actinodura_egertoni,1,0,0,0,1,0,0,1,0,0,1,0,3,960000
Actinodura_ramsayi,1,0,0,0,1,0,0,1,1,0,1,0,3,656000
Actinodura_ramsayi,1,0,0,0,1,0,0,1,1,0,1,0,2,656000
Actinodura_sodangorum,0,0,0,0,1,1,0,1,1,0,1,0,2,14400
Actitis_hypoleucos,1,1,1,1,1,1,0,1,1,0,0,1,3,47200000
Actitis_macularius,1,1,1,0,1,1,1,0,0,0,0,1,3,23400000
