"","scientificName","orderName","familyName","genusName","Movement","redlistCategory","populationTrend","decline","threatend","habitatNotes","breedArtif","breedCoast","breedDesert","breedForest","breedGrass","breedInter","breedNerit","breedRock","breedSavan","breedShrub","breedUbiqu","breedUnkno","breedWetla","nonbArtif","nonbCoast","nonbDesert","nonbForest","nonbGrass","nonbInter","nonbNerit","nonbRock","nonbSavan","nonbShrub","nonbUbiqu","nonbUnkno","nonbWetla","HabNum","Pac_Americas","Cen_Americas","Atl_Americas","Eas_Atlantic","Black_Sea","Eas_Africa","Cen_Asia","Eas_Asia","Breed_Hemisphere","Nonbreed_Hemisphere","migratory"
"19","Acanthiza reguloides","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,1,2,2,0
"20","Acanthiza robustirostris","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,1,2,2,0
"21","Acanthiza uropygialis","PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,1,2,2,0
"22","Acanthoptila nipalensis","PASSERIFORMES","LEIOTRICHIDAE","Acanthoptila","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,2,2,0
"23","Acanthorhynchus superciliosus","PASSERIFORMES","MELIPHAGIDAE","Acanthorhynchus","Not a Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,2,0
"24","Acanthorhynchus tenuirostris","PASSERIFORMES","MELIPHAGIDAE","Acanthorhynchus","Not a Migrant","Least Concern","Decreasing",1,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0
"25","Acanthornis magna","PASSERIFORMES","ACANTHIZIDAE","Acanthornis","Not a Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,1,2,2,0
"26","Achaetops pycnopygius","PASSERIFORMES","MACROSPHENIDAE","Achaetops","Not a Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,1,0,0,2,2,0
"27","Acridotheres albocinctus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Unknown",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,1,2,2,0
"28","Acridotheres burmannicus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Increasing",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,1,1,2,2,0
"29","Acridotheres cinereus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Vulnerable","Decreasing",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,2,2,0
"30","Acridotheres cristatellus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,1,3,3,0
"31","Acridotheres fuscus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Decreasing",1,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,3,3,0
"32","Acridotheres ginginianus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Increasing",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,3,3,0
"33","Acridotheres grandis","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,1,1,3,3,0
"34","Acridotheres javanicus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Vulnerable","Decreasing",1,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,2,0
"35","Acridotheres leucocephalus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Increasing",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,1,2,2,0
"36","Acridotheres melanopterus","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Critically Endangered","Decreasing",1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0
"37","Acridotheres tertius","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Critically Endangered","Decreasing",1,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0
"38","Acridotheres tricolor","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Critically Endangered","Decreasing",1,1,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0
"39","Acridotheres tristis","PASSERIFORMES","STURNIDAE","Acridotheres","Not a Migrant","Least Concern","Increasing",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,1,1,1,3,3,0
"40","Acritillas indica","PASSERIFORMES","PYCNONOTIDAE","Acritillas","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,1,1,2,2,0
"41","Acrobatornis fonsecai","PASSERIFORMES","FURNARIIDAE","Acrobatornis","Not a Migrant","Vulnerable","Decreasing",1,1,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0
"42","Acrocephalus aequinoctialis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Endangered","Decreasing",1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43","Acrocephalus agricola","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,1,1,1,1,3,1
"44","Acrocephalus arundinaceus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Decreasing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,1,1,1,1,1,3,2,1
"45","Acrocephalus astrolabii","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Extinct","",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"46","Acrocephalus atyphus","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
